,A.BRAKE1
16:13:00.436,1
16:13:00.637,1
16:13:00.838,1
16:13:01.039,1
16:13:01.240,1
16:13:01.441,1
16:13:01.642,1
16:13:01.843,1
16:13:02.044,1
16:13:02.245,-1
16:13:02.446,-1
16:13:02.647,-1
16:13:02.848,-1
16:13:03.048,-1
16:13:03.249,-1
16:13:03.451,-1
16:13:03.651,-1
16:13:03.852,-1
16:13:04.053,-1
16:13:04.254,-1
16:13:04.455,-1
16:13:04.656,-1
16:13:04.859,-1
16:13:05.060,-1
16:13:05.262,-1
16:13:05.464,-1
16:13:05.666,-1
16:13:05.866,-1
16:13:06.068,-1
16:13:06.269,-1
16:13:06.470,-1
16:13:06.671,-1
16:13:06.872,-1
16:13:07.073,-1
16:13:07.274,-1
16:13:07.475,-1
16:13:07.676,-1
16:13:07.877,-1
16:13:08.078,-1
16:13:08.279,-1
16:13:08.480,-1
16:13:08.681,-1
16:13:08.883,-1
16:13:09.085,-1
16:13:09.288,-1
16:13:09.492,-1
16:13:09.695,-1
16:13:09.896,-1
16:13:10.098,-1
16:13:10.299,-1
16:13:10.500,-1
16:13:10.701,-1
16:13:10.902,-1
16:13:11.103,-1
16:13:11.305,-1
16:13:11.505,-1
16:13:11.707,-1
16:13:11.907,-1
16:13:12.108,-1
16:13:12.309,-1
16:13:12.510,-1
16:13:12.710,-1
16:13:12.911,-1
16:13:13.112,-1
16:13:13.314,-1
16:13:13.515,-1
16:13:13.716,-1
16:13:13.917,-1
16:13:14.118,-1
16:13:14.321,-1
16:13:14.522,-1
16:13:14.724,-1
16:13:14.925,-1
16:13:15.130,-1
16:13:15.332,-1
16:13:15.534,-1
16:13:15.736,-1
16:13:15.936,-1
16:13:16.138,-1
16:13:16.339,-1
16:13:16.539,-1
16:13:16.741,-1
16:13:16.942,-1
16:13:17.142,-1
16:13:17.345,-1
16:13:17.546,-1
16:13:17.746,-1
16:13:17.950,-1
16:13:18.151,-1
16:13:18.352,-1
16:13:18.553,-1
16:13:18.754,-1
16:13:18.956,-1
16:13:19.157,-1
16:13:19.360,-1
16:13:19.562,-1
16:13:19.766,-1
16:13:19.967,-1
16:13:20.168,1
16:13:20.370,1
16:13:20.571,1
16:13:20.772,1
16:13:20.973,1
16:13:21.174,1
16:13:21.375,1
16:13:21.577,1
16:13:21.778,-1
16:13:21.978,-1
16:13:22.179,-1
16:13:22.380,-1
16:13:22.581,-1
16:13:22.782,-1
16:13:22.999,-1
16:13:23.200,-1
16:13:23.402,-1
16:13:23.605,-1
16:13:23.806,-1
16:13:24.008,-1
16:13:24.210,-1
16:13:24.412,-1
16:13:24.612,-1
16:13:24.813,-1
16:13:25.014,-1
16:13:25.215,-1
16:13:25.417,-1
16:13:25.618,-1
16:13:25.819,-1
16:13:26.020,-1
16:13:26.221,-1
16:13:26.422,-1
16:13:26.623,-1
16:13:26.824,-1
16:13:27.025,-1
16:13:27.226,-1
16:13:27.427,-1
16:13:27.628,-1
16:13:27.830,-1
16:13:28.031,-1
16:13:28.233,-1
16:13:28.434,-1
16:13:28.635,-1
16:13:28.837,-1
16:13:29.038,-1
16:13:29.239,-1
16:13:29.442,-1
16:13:29.643,-1
16:13:29.845,-1
16:13:30.045,-1
16:13:30.246,-1
16:13:30.447,-1
16:13:30.648,-1
16:13:30.849,-1
16:13:31.050,-1
16:13:31.251,-1
16:13:31.452,-1
16:13:31.652,-1
16:13:31.853,-1
16:13:32.054,-1
16:13:32.255,-1
16:13:32.456,-1
16:13:32.657,-1
16:13:32.858,-1
16:13:33.060,-1
16:13:33.264,-1
16:13:33.467,-1
16:13:33.669,-1
16:13:33.870,-1
16:13:34.071,-1
16:13:34.272,-1
16:13:34.473,-1
16:13:34.674,-1
16:13:34.875,-1
16:13:35.076,-1
16:13:35.277,-1
16:13:35.478,-1
16:13:35.679,-1
16:13:35.880,-1
16:13:36.081,-1
16:13:36.282,-1
16:13:36.483,-1
16:13:36.684,-1
16:13:36.884,-1
16:13:37.089,-1
16:13:37.291,-1
16:13:37.493,-1
16:13:37.694,-1
16:13:37.896,-1
16:13:38.097,-1
16:13:38.299,-1
16:13:38.500,-1
16:13:38.701,-1
16:13:38.902,-1
16:13:39.103,-1
16:13:39.304,1
16:13:39.506,1
16:13:39.707,1
16:13:39.908,1
16:13:40.109,1
16:13:40.310,1
16:13:40.511,1
16:13:40.712,1
16:13:40.913,1
16:13:41.115,1
16:13:41.316,-1
16:13:41.519,-1
16:13:41.720,-1
16:13:41.920,-1
