,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN,OA_DB_ALT_MIN,RTL_SPEED,RTL_CONE_SLOPE,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG,RNGFND7_WSP_MAVG
17:25:24.389,115137.0,0.25,0.1,1000.0,30.0,2.1,500.0,1000.0,2634.0,1640.0,0.0,100.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:25:28.424,230436.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,25350.0,480.0,0.0,750.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:25:32.449,149278.0,0.25,0.1,1000.0,30.0,1.6,6500.0,1000.0,32000.0,380.0,0.0,2000.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:25:36.466,8824.0,0.25,0.1,1000.0,30.0,4.3,18000.0,1000.0,0.0,0.0,0.0,1400.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:25:40.485,19484.0,0.25,0.1,1000.0,30.0,0.0,500.0,1000.0,21804.0,2850.0,0.0,1250.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:25:44.498,200.0,0.25,0.1,1000.0,30.0,1.5,18000.0,1000.0,7644.0,300.0,0.0,2000.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:25:48.039,300000.0,0.25,0.1,1000.0,30.0,5.1,12700.0,1000.0,32000.0,1960.0,0.0,350.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:25:52.069,237152.0,0.25,0.1,1000.0,30.0,1.2,4800.0,1000.0,0.0,60.0,0.0,1850.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:25:56.102,264730.0,0.25,0.1,1000.0,30.0,0.5,500.0,1000.0,32000.0,770.0,0.0,750.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:26:00.133,88883.0,0.25,0.1,1000.0,30.0,2.3,16500.0,1000.0,0.0,1210.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:26:04.161,207191.0,0.25,0.1,1000.0,30.0,5.1,9200.0,1000.0,0.0,800.0,0.0,1600.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:26:08.190,225098.0,0.25,0.1,1000.0,30.0,0.3,2900.0,1000.0,32000.0,400.0,0.0,1750.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:26:12.223,27808.0,0.25,0.1,1000.0,30.0,4.1,15800.0,1000.0,21740.0,2390.0,0.0,250.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:26:16.251,223215.0,0.25,0.1,1000.0,30.0,2.7,16400.0,1000.0,12977.0,1890.0,0.0,1700.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:26:20.277,170149.0,0.25,0.1,1000.0,30.0,0.0,500.0,1000.0,17633.0,2240.0,0.0,1450.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:26:24.314,300000.0,0.25,0.1,1000.0,30.0,2.8,9000.0,1000.0,18132.0,2950.0,0.0,150.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:26:28.344,223136.0,0.25,0.1,1000.0,30.0,1.6,6300.0,1000.0,32000.0,1970.0,0.0,2000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:26:32.377,300000.0,0.25,0.1,1000.0,30.0,5.1,4300.0,1000.0,0.0,2490.0,0.0,2000.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:26:36.405,279921.0,0.25,0.1,1000.0,30.0,0.0,12300.0,1000.0,0.0,3000.0,0.0,750.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:26:40.438,63964.0,0.25,0.1,1000.0,30.0,0.7,10600.0,1000.0,32000.0,0.0,0.0,1850.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:26:44.463,192857.0,0.25,0.1,1000.0,30.0,2.8,13700.0,1000.0,1746.0,1270.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:26:48.484,77667.0,0.25,0.1,1000.0,30.0,0.8,5400.0,1000.0,13520.0,3000.0,0.0,2000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:26:52.500,26032.0,0.25,0.1,1000.0,30.0,0.0,8700.0,1000.0,0.0,0.0,0.0,600.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:26:56.022,65362.0,0.25,0.1,1000.0,30.0,0.1,4800.0,1000.0,32000.0,810.0,0.0,300.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:27:00.044,200.0,0.25,0.1,1000.0,30.0,5.1,18000.0,1000.0,24686.0,1430.0,0.0,1250.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:27:04.075,211699.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,10584.0,2560.0,0.0,550.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:27:08.096,200.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,7332.0,1870.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:27:12.132,227599.0,0.25,0.1,1000.0,30.0,3.3,18000.0,1000.0,2728.0,1460.0,0.0,2000.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:27:16.165,118609.0,0.25,0.1,1000.0,30.0,2.2,8800.0,1000.0,32000.0,370.0,0.0,1950.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:27:20.201,300000.0,0.25,0.1,1000.0,30.0,1.2,7700.0,1000.0,32000.0,1540.0,0.0,1000.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:27:24.237,180909.0,0.25,0.1,1000.0,30.0,0.0,10400.0,1000.0,14450.0,3000.0,0.0,700.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:27:28.258,79899.0,0.25,0.1,1000.0,30.0,1.9,10200.0,1000.0,32000.0,0.0,0.0,650.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:27:32.283,47424.0,0.25,0.1,1000.0,30.0,0.0,500.0,1000.0,13615.0,3000.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:27:36.299,200.0,0.25,0.1,1000.0,30.0,5.1,13300.0,1000.0,0.0,0.0,0.0,1550.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
