,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG
16:28:37.381,300000.0,0.0,1.2,-2.7,0.25,1.4,0.0,5889.0,0.0,1.0,0.1,50.0,50.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0
16:28:41.415,200.0,0.7,1.1,4.5,0.25,5.1,0.0,0.0,700.0,1.0,0.1,50.0,50.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0
16:28:45.484,300000.0,0.0,0.0,-10.0,0.25,0.8,0.0,0.0,1000.0,1.0,0.1,50.0,50.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0
16:28:49.523,227867.0,0.0,1.7,-0.5,0.25,3.6,0.0,4924.0,1000.0,1.0,0.1,50.0,50.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0
16:28:53.075,300000.0,0.7,0.0,-1.4,0.25,1.4,0.0,0.0,0.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:28:57.104,280944.0,0.3,0.9,-10.0,0.25,2.0,0.0,3726.0,970.0,1.0,0.1,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
16:29:01.126,73025.0,0.4,0.9,-2.2,0.25,3.8,0.0,16342.0,0.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:29:05.141,32788.0,0.1,0.5,10.1,0.25,1.8,0.0,13983.0,0.0,1.0,0.1,50.0,50.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0
16:29:09.153,200.0,0.4,1.6,5.6,0.25,3.3,0.0,0.0,820.0,1.0,0.1,50.0,50.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0
16:29:13.187,300000.0,0.7,0.0,10.1,0.25,1.3,0.0,20411.0,380.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:29:17.204,200.0,0.4,0.3,-2.6,0.25,1.1,0.0,27997.0,870.0,1.0,0.1,50.0,50.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0
16:29:21.252,200.0,1.1,2.0,-10.0,0.25,2.7,0.0,28777.0,880.0,1.0,0.1,50.0,50.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0
16:29:25.272,103940.0,0.8,1.1,-2.5,0.25,3.4,0.0,0.0,460.0,1.0,0.1,50.0,50.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0
16:29:29.301,23178.0,1.1,0.9,6.9,0.25,3.4,0.0,32000.0,1000.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:29:33.343,300000.0,0.0,0.0,4.2,0.25,5.1,0.0,20554.0,1000.0,1.0,0.1,50.0,50.0,795.0,0.0,0.0,0.0,0.0,0.0,0.0
16:29:37.359,200.0,0.0,0.9,-5.5,0.25,0.7,0.0,32000.0,0.0,1.0,0.1,50.0,50.0,735.0,0.0,0.0,0.0,0.0,0.0,0.0
16:29:41.384,135017.0,0.1,1.3,-0.7,0.25,4.3,0.0,12440.0,0.0,1.0,0.1,50.0,50.0,893.0,0.0,0.0,0.0,0.0,0.0,0.0
16:29:45.431,145441.0,0.2,0.3,-10.0,0.25,1.6,0.0,32000.0,380.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:29:49.462,300000.0,0.3,1.5,-7.1,0.25,2.3,0.0,11151.0,790.0,1.0,0.1,50.0,50.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0
16:29:53.494,255517.0,0.0,0.8,10.1,0.25,5.0,0.0,15958.0,310.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:29:57.038,141480.0,0.4,0.1,8.6,0.25,5.1,0.0,32000.0,1000.0,1.0,0.1,50.0,50.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0
16:30:01.072,300000.0,0.3,0.2,-10.0,0.25,0.0,0.0,12522.0,370.0,1.0,0.1,50.0,50.0,797.0,0.0,0.0,0.0,0.0,0.0,0.0
16:30:05.086,13454.0,0.5,0.0,-10.0,0.25,0.0,0.0,2256.0,1000.0,1.0,0.1,50.0,50.0,846.0,0.0,0.0,0.0,0.0,0.0,0.0
16:30:09.105,200.0,1.0,1.3,-10.0,0.25,0.0,0.0,9738.0,0.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:30:13.139,197853.0,1.1,2.0,3.9,0.25,4.4,0.0,17590.0,30.0,1.0,0.1,50.0,50.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0
16:30:17.178,207680.0,0.0,1.6,6.0,0.25,5.1,0.0,28365.0,540.0,1.0,0.1,50.0,50.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0
16:30:21.210,215372.0,0.2,2.0,-10.0,0.25,1.1,0.0,32000.0,430.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:30:25.247,300000.0,0.1,1.6,10.1,0.25,0.0,0.0,15385.0,920.0,1.0,0.1,50.0,50.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0
16:30:29.277,200.0,0.0,1.2,-10.0,0.25,1.3,0.0,7584.0,760.0,1.0,0.1,50.0,50.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0
16:30:33.306,189850.0,0.5,0.0,10.1,0.25,1.6,0.0,25701.0,630.0,1.0,0.1,50.0,50.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0
16:30:37.342,300000.0,0.3,1.2,10.1,0.25,2.1,0.0,14084.0,0.0,1.0,0.1,50.0,50.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
16:30:41.363,110835.0,0.0,0.2,2.2,0.25,1.2,0.0,8755.0,520.0,1.0,0.1,50.0,50.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0
16:30:45.389,121068.0,0.0,1.6,-10.0,0.25,1.2,0.0,16193.0,720.0,1.0,0.1,50.0,50.0,895.0,0.0,0.0,0.0,0.0,0.0,0.0
16:30:49.414,83446.0,0.9,0.5,9.8,0.25,2.1,0.0,26039.0,1000.0,1.0,0.1,50.0,50.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0
16:30:53.444,85300.0,0.4,2.0,3.0,0.25,0.0,0.0,10068.0,1000.0,1.0,0.1,50.0,50.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0
16:30:57.475,300000.0,0.8,1.4,3.5,0.25,5.1,0.0,3541.0,810.0,1.0,0.1,50.0,50.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0
