time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz
20:06:51,-0.7142857142857143,-6.0,-997.2857142857143,652.7142857142857,2.0,1.0,1500.0,RTL,0.03574966399797371,-0.0009904921108890058,-0.775011386190142,0.6582723047052111,0.001246820395213685,-0.0008874495646783284,-35.363263585714286,149.16523644285715,46964.0,8.428571428571429,4.285714285714286,102.71428571428571
20:06:53,0.2,-39.8,-981.2,-62.2,-1.6,-3.8,1500.0,RTL,0.025175337307155134,0.00016779103898443282,-0.7747419595718383,-0.057434841990470886,-0.0023103886749595405,-0.0057538602966815235,-35.36326364,149.16523604,44943.2,12.2,9.2,99.4
20:06:55,1.2,62.6,-1004.6,791.0,2.8,6.8,1500.0,RTL,0.002974558644928038,0.002832666225731373,-0.7755824565887451,0.7824952721595764,0.002555305534042418,0.00478723281994462,-35.36326304000001,149.16523652,43000.0,12.0,10.0,96.8
20:06:57,-0.3333333333333333,-50.666666666666664,-1000.3333333333334,-1436.0,-3.3333333333333335,-3.3333333333333335,1500.0,RTL,-0.02135610207915306,-0.0002665933425305411,-0.7758554518222809,-1.38528311252594,-0.0038736152928322554,-0.0034558188635855913,-35.363262,149.165238,40687.5,-0.5,-0.5,99.0
20:06:59,-1.6666666666666667,71.66666666666667,-1010.6666666666666,988.6666666666666,3.3333333333333335,3.0,1500.0,RTL,0.024665343885620434,-0.003758811391890049,-0.7757337093353271,0.9803821841875712,0.00347742383989195,0.0011748690158128738,-35.363263133333334,149.16523686666667,38734.0,4.666666666666667,2.6666666666666665,98.33333333333333
20:07:03,1.25,-25.25,-983.75,-1069.5,5.25,3.0,1500.0,RTL,0.0031660021437952914,0.0037600007684280476,-0.7756198445955912,-1.2160241603851318,0.003101092685634891,0.0023281207929054895,-35.3632646,149.1652345,34675.666666666664,26.666666666666668,24.0,103.0
20:07:05,4.5,-56.5,-966.25,-1504.5,-2.0,4.0,1500.0,RTL,-0.034939794801175594,0.00620614318177104,-0.7759391963481903,-1.5087178945541382,-0.002854207283235155,0.0019836987485177815,-35.363262175,149.16523725,32757.5,10.5,9.75,103.0
20:07:07,0.8333333333333334,-73.16666666666667,-997.6666666666666,-1315.6666666666667,-2.5,-1.3333333333333333,1500.0,RTL,-0.030725070430586737,0.001313511418023457,-0.7761475443840027,-1.3148019909858704,-0.0035161939449608326,-0.0038133648922666907,-35.36326068333333,149.16523938333333,30968.5,-11.0,-9.5,101.0
20:07:11,-2.0,52.333333333333336,-1020.0,1451.0,-5.333333333333333,-1.0,1500.0,RTL,0.009568475497265657,-0.001804341950143377,-0.7758496006329855,1.449934720993042,-0.006193910414973895,-0.0032785130509485803,-35.36326046666667,149.16523983333335,26503.666666666668,-20.666666666666668,-20.333333333333332,103.0
20:07:13,-5.0,63.833333333333336,-984.6666666666666,520.8333333333334,0.16666666666666666,6.0,1500.0,RTL,0.007517652586102486,-0.004193007247522473,-0.7760214507579803,0.5120369953413805,-0.0007477281421112517,0.0041620402480475605,-35.36326196666666,149.16523808333332,24825.5,-9.333333333333334,-9.666666666666666,99.33333333333333
